,Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides DM-dig,Peptides DM-tx,Peptides TbGPI12-dig,Peptides TbGPI12-tx,Razor + unique peptides DM-dig,Razor + unique peptides DM-tx,Razor + unique peptides TbGPI12-dig,Razor + unique peptides TbGPI12-tx,Unique peptides DM-dig,Unique peptides DM-tx,Unique peptides TbGPI12-dig,Unique peptides TbGPI12-tx,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Fraction 2,Fraction 11,Fraction 12,Fraction 31,Fraction 32,Fraction 41,Fraction 42,Q-value,Score,Identification type DM-dig,Identification type DM-tx,Identification type TbGPI12-dig,Identification type TbGPI12-tx,Sequence coverage DM-dig [%],Sequence coverage DM-tx [%],Sequence coverage TbGPI12-dig [%],Sequence coverage TbGPI12-tx [%],Intensity,Intensity DM-dig,Intensity DM-tx,Intensity TbGPI12-dig,Intensity TbGPI12-tx,iBAQ,iBAQ DM-dig,iBAQ DM-tx,iBAQ TbGPI12-dig,iBAQ TbGPI12-tx,LFQ intensity DM-dig,LFQ intensity DM-tx,LFQ intensity TbGPI12-dig,LFQ intensity TbGPI12-tx,MS/MS count DM-dig,MS/MS count DM-tx,MS/MS count TbGPI12-dig,MS/MS count TbGPI12-tx,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Gene_id,Gene_desc
1198,Tb927.8.870:mRNA-p1,Tb927.8.870:mRNA-p1,2,2,2,,1,2,2,2,0,2,0,0,0,2,0,0,0,2,0,0,9.1,9.1,9.1,33.524,296,296,41.0,,,,,,,3.0,,0.0,12.375,,By MS/MS,,,0.0,9.1,0.0,0.0,434630,0,434630,0,0,54328.0,0.0,54328.0,0.0,0.0,0.0,381050,0,0.0,0,3,0,0,3,,,,1198,841;973,True;True,909;1059,1967;1968;2304,2281;2282;2283;2660,2281;2660,,,Tb927.8.870,"CAMK/CAMKL family protein kinase, putative"
1199,Tb927.8.880:mRNA-p1,Tb927.8.880:mRNA-p1,2,2,2,,1,2,2,2,2,0,0,0,2,0,0,0,2,0,0,0,2.9,2.9,2.9,79.363,749,749,2.0,,2.0,,,,,,,0.0,13.152000000000001,By MS/MS,,,,2.9,0.0,0.0,0.0,137280,137280,0,0,0,3520.0,3520.0,0.0,0.0,0.0,32615.0,0,0,0.0,2,0,0,0,2,,,,1199,5387;5557,True;True,5902;6090,13081;13544,15596;16151,15596;16151,,,Tb927.8.880,hypothetical protein
1200,Tb927.8.890:mRNA-p1,Tb927.8.890:mRNA-p1,5,4,4,,1,5,4,4,5,2,1,0,4,1,0,0,4,1,0,0,29.8,24.5,24.5,22.714000000000002,208,208,6.71,6.0,,,,,,1.0,,0.0,26.788,By MS/MS,By MS/MS,By matching,,29.8,9.6,5.3,0.0,961040,901840,59204,0,0,68646.0,64417.0,4228.9,0.0,0.0,773240.0,0,0,0.0,7,1,0,0,8,,,,1200,1349;3111;3243;3892;4555,True;True;False;True;True,1472;1473;3371;3515;4284;4985,3145;3146;3147;7400;7719;7720;7721;9445;10931;10932,3599;3600;3601;8725;9110;9111;9112;11176;11177;12898;12899,3600;8725;9110;11176;12898,744,165,Tb927.8.890,Ras-related protein Rab1A
1201,Tb927.8.900:mRNA-p1,Tb927.8.900:mRNA-p1,2,2,2,,1,2,2,2,2,0,0,0,2,0,0,0,2,0,0,0,7.0,7.0,7.0,37.469,328,328,2.0,,2.0,,,,,,,0.0,12.876,By MS/MS,,,,7.0,0.0,0.0,0.0,119150,119150,0,0,0,7446.9,7446.9,0.0,0.0,0.0,28307.0,0,0,0.0,3,0,0,0,3,,,,1201,2935;4666,True;True,3181;5108,6944;11224,8200;13269;13270,8200;13269,,,Tb927.8.900,splicing factor TSR1
1202,Tb927.8.910:mRNA-p1,Tb927.8.910:mRNA-p1,1,1,1,,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,4.1,4.1,4.1,50.195,465,465,2.0,,1.0,,,,,,,0.00094251,7.6222,By MS/MS,,,,4.1,0.0,0.0,0.0,59733,59733,0,0,0,5430.2,5430.2,0.0,0.0,0.0,14191.0,0,0,0.0,1,0,0,0,1,,,,1202,2223,True,2415,5197,6029,6029,,,Tb927.8.910,"hypothetical protein, conserved"
1203,Tb927.8.990:mRNA-p1,Tb927.8.990:mRNA-p1,1,1,1,,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,3.5,3.5,3.5,33.963,318,318,2.0,,1.0,,,,,,,0.00092336,7.2669,By MS/MS,,,,3.5,0.0,0.0,0.0,146990,146990,0,0,0,9799.6,9799.6,0.0,0.0,0.0,34923.0,0,0,0.0,1,0,0,0,1,,,,1203,3368,True,3647,7999,9422,9422,,,Tb927.8.990,RNA-binding protein 33 (RNA-binding motif protein 33)
1204,Tb927.9.10050:mRNA-p1,Tb927.9.10050:mRNA-p1,2,2,2,,1,2,2,2,2,0,0,0,2,0,0,0,2,0,0,0,4.7,4.7,4.7,46.93600000000001,424,424,2.0,,2.0,,,,,,,0.0,13.338,By MS/MS,,,,4.7,0.0,0.0,0.0,84887,84887,0,0,0,4993.3,4993.3,0.0,0.0,0.0,20167.0,0,0,0.0,3,0,0,0,3,,,,1204,1953;4269,True;True,2120;4683,4538;10218,5245;12066;12067,5245;12066,,,Tb927.9.10050,"60Kd inner membrane protein, putative"
1205,Tb927.9.10070:mRNA-p1,Tb927.9.10070:mRNA-p1,1,1,1,,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,5.6,5.6,5.6,32.855,288,288,1.0,1.0,,,,,,,,0.0049342,6.5743,By MS/MS,,,,5.6,0.0,0.0,0.0,42919,42919,0,0,0,2384.4,2384.4,0.0,0.0,0.0,42919.0,0,0,0.0,1,0,0,0,1,,,,1205,2765,True,3003,6611,7792,7792,,,Tb927.9.10070,"hypothetical protein, conserved"
1206,Tb927.9.10080:mRNA-p1,Tb927.9.10080:mRNA-p1,1,1,1,,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,3.7,3.7,3.7,39.735,356,356,1.0,1.0,,,,,,,,0.0041597000000000005,6.6634,By MS/MS,,,,3.7,0.0,0.0,0.0,49194,49194,0,0,0,2459.7,2459.7,0.0,0.0,0.0,49194.0,0,0,0.0,2,0,0,0,2,,,,1206,4859,True,5320,11730,13916;13917,13916,,,Tb927.9.10080,"phosphatidylserine decarboxylase, putative"
1207,Tb927.9.10100:mRNA-p1,Tb927.9.10100:mRNA-p1,2,2,2,,1,2,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1.5,1.5,1.5,160.65,1449,1449,7.0,,1.0,,1.0,,,,,0.0,11.353,By MS/MS,,By MS/MS,,0.8,0.0,0.8,0.0,598900,44644,0,554260,0,8093.3,603.29,0.0,7490.0,0.0,0.0,0,755030,0.0,1,0,1,0,2,,,,1207,1095;3220,True;True,1188;3491,2544;7677,2929;9067,2929;9067,,,Tb927.9.10100,"hypothetical protein, conserved"
1208,Tb927.9.10160:mRNA-p1,Tb927.9.10160:mRNA-p1,6,6,6,,1,6,6,6,6,0,2,0,6,0,2,0,6,0,2,0,21.3,21.3,21.3,25.412,225,225,2.82,9.0,,2.0,,,,,,0.0,36.723,By MS/MS,,By MS/MS,,21.3,0.0,8.4,0.0,1802600,1692300,0,110300,0,150220.0,141030.0,0.0,9191.5,0.0,1511900.0,0,487880,0.0,13,0,2,0,15,,,,1208,1340;2758;2821;3567;4354;4355,True;True;True;True;True;True,1462;2993;2994;3062;3909;3910;4776;4777,3131;6572;6573;6740;6741;8579;8580;8581;10461;10462;10463,3583;3584;7744;7745;7746;7955;7956;10093;10094;10095;10096;12346;12347;12348;12349,3584;7746;7955;10096;12347;12349,745,140,Tb927.9.10160,"hypothetical protein, conserved"
1209,Tb927.9.10310:mRNA-p1,Tb927.9.10310:mRNA-p1,14,14,14,,1,14,14,14,12,10,4,5,12,10,4,5,12,10,4,5,47.6,47.6,47.6,34.295,317,317,19.2,16.0,6.0,4.0,,4.0,4.0,15.0,,0.0,105.67,By MS/MS,By MS/MS,By MS/MS,By MS/MS,42.0,39.1,14.8,18.6,25981000,18020000,6056100,1057200,847370,1528300.0,1060000.0,356240.0,62187.0,49845.0,14117000.0,6327100,5938700,4665500.0,28,19,5,9,61,,,,1209,115;638;758;1522;1523;2193;3977;4427;4563;4640;5287;5288;5430;5662,True;True;True;True;True;True;True;True;True;True;True;True;True;True,121;683;684;815;1661;1662;2384;4375;4376;4849;4993;5082;5787;5788;5789;5950;5951;6202,253;254;255;256;257;1492;1493;1494;1759;1760;1761;3542;3543;3544;3545;3546;5137;9633;9634;9635;10652;10653;10942;10943;10944;10945;10946;10947;11154;11155;11156;12789;12790;12791;12792;12793;12794;12795;13205;13206;13207;13208;13209;13777;13778;13779;13780;13781;13782,308;309;310;311;312;313;314;1748;1749;1750;1751;2039;2040;2041;2042;4071;4072;4073;4074;5958;5959;11377;11378;11379;12575;12911;12912;12913;12914;12915;12916;13193;13194;13195;15255;15256;15257;15258;15259;15260;15261;15262;15263;15264;15265;15749;15750;15751;15752;15753;15754;15755;16416;16417;16418;16419;16420;16421;16422;16423;16424;16425,311;1749;2039;4071;4074;5959;11378;12575;12913;13194;15255;15258;15753;16422,746;747;748,52;93;170,Tb927.9.10310,mitochondrial carrier protein 11
1210,Tb927.9.10340:mRNA-p1,Tb927.9.10340:mRNA-p1,1,1,1,,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,2.6,2.6,2.6,54.06399999999999,492,492,1.0,1.0,,,,,,,,0.0017699000000000002,6.982,By MS/MS,,,,2.6,0.0,0.0,0.0,47219,47219,0,0,0,3372.8,3372.8,0.0,0.0,0.0,47219.0,0,0,0.0,2,0,0,0,2,,,,1210,1637,True,1781,3827,4402;4403,4403,,,Tb927.9.10340,"Polyamine transporter 1, putative"
1211,Tb927.9.10350:mRNA-p1,Tb927.9.10350:mRNA-p1,3,3,3,,1,3,3,3,3,0,2,0,3,0,2,0,3,0,2,0,16.4,16.4,16.4,23.469,207,207,5.0,3.0,,2.0,,,,,,0.0,20.075,By MS/MS,,By MS/MS,,16.4,0.0,12.1,0.0,793250,711490,0,81753,0,79325.0,71149.0,0.0,8175.3,0.0,693090.0,0,320660,0.0,3,0,2,0,5,,,,1211,2819;3223;5556,True;True;True,3060;3495;6089,6737;6738;7681;7682;13543,7952;7953;9072;9073;16150,7952;9073;16150,,,Tb927.9.10350,"Snf7, putative"
1212,Tb927.9.10470:mRNA-p1,Tb927.9.10470:mRNA-p1,3,3,3,,1,3,3,3,2,3,0,0,2,3,0,0,2,3,0,0,8.7,8.7,8.7,39.536,343,343,25.0,2.0,,,,,,3.0,,0.0,24.815,By MS/MS,By MS/MS,,,5.8,8.7,0.0,0.0,319260,157910,161360,0,0,16803.0,8310.9,8492.4,0.0,0.0,207850.0,91522,0,0.0,3,4,0,0,7,,,,1212,2681;3133;3742,True;True;True,2907;3396;4114,6411;6412;7444;9045;9046,7543;7544;8768;10681;10682;10683;10684,7544;8768;10681,,,Tb927.9.10470,"hypothetical protein, conserved"
1213,Tb927.9.10520:mRNA-p1,Tb927.9.10520:mRNA-p1,3,3,3,,1,3,3,3,3,2,0,0,3,2,0,0,3,2,0,0,12.3,12.3,12.3,29.587,253,253,17.0,3.0,,,,,,2.0,,0.0,18.938,By MS/MS,By MS/MS,,,12.3,9.1,0.0,0.0,310430,210340,100090,0,0,20695.0,14022.0,6672.9,0.0,0.0,195210.0,102880,0,0.0,3,2,0,0,5,,,,1213,1092;1900;2101,True;True;True,1185;2065;2290,2537;2538;4436;4931;4932,2923;2924;5124;5731;5732,2924;5124;5731,,,Tb927.9.10520,"hypothetical protein, conserved"
1214,Tb927.9.10580:mRNA-p1,Tb927.9.10580:mRNA-p1,3,3,3,,1,3,3,3,2,3,0,0,2,3,0,0,2,3,0,0,12.2,12.2,12.2,31.206,288,288,27.7,2.0,,,,,,4.0,,0.0,23.07,By MS/MS,By MS/MS,,,9.0,12.2,0.0,0.0,441440,138580,302870,0,0,23234.0,7293.4,15940.0,0.0,0.0,181110.0,195990,0,0.0,3,4,0,0,7,,,,1214,815;1337;4540,True;True;True,879;1459;4969;4970,1898;1899;3123;10885;10886;10887,2201;2202;3576;12840;12841;12842;12843,2202;3576;12843,749,281,Tb927.9.10580,"3-demethylubiquinone-9 3-methyltransferase, putative"
1215,Tb927.9.10630:mRNA-p1,Tb927.9.10630:mRNA-p1,1,1,1,,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,6.8,6.8,6.8,28.976999999999997,266,266,1.0,1.0,,,,,,,,0.0041322,6.6056,By MS/MS,,,,6.8,0.0,0.0,0.0,51637,51637,0,0,0,3442.5,3442.5,0.0,0.0,0.0,51637.0,0,0,0.0,2,0,0,0,2,,,,1215,4767,True,5218,11458,13552;13553,13552,,,Tb927.9.10630,"hypothetical protein, conserved"
1216,Tb927.9.10680:mRNA-p1,Tb927.9.10680:mRNA-p1,2,2,2,,1,2,2,2,2,0,0,1,2,0,0,1,2,0,0,1,8.3,8.3,8.3,35.455,326,326,12.0,,2.0,,,,1.0,,,0.0,14.552,By MS/MS,,,By MS/MS,8.3,0.0,0.0,3.7,168670,134450,0,0,34221,14056.0,11205.0,0.0,0.0,2851.7,31943.0,0,0,0.0,2,0,0,1,3,,,,1216,3252;5402,True;True,3524;5920,7745;7746;13143,9134;9135;15675,9134;15675,,,Tb927.9.10680,"RNA polymerase III RPC4, putative"
1217,Tb927.9.10690:mRNA-p1,Tb927.9.10690:mRNA-p1,6,6,6,,1,6,6,6,6,0,0,4,6,0,0,4,6,0,0,4,12.7,12.7,12.7,55.64,488,488,14.0,,6.0,,,,4.0,,,0.0,40.038000000000004,By MS/MS,,,By MS/MS,12.7,0.0,0.0,8.2,1335000,1133900,0,0,201090,49445.0,41997.0,0.0,0.0,7447.9,269310.0,0,0,137890.0,8,0,0,5,13,,,,1217,812;1043;1234;3544;4478;5014,True;True;True;True;True;True,875;1133;1341;3873;4905;5486,1885;1886;2447;2448;2890;2891;8503;10751;10752;12070,2185;2186;2825;2826;2827;3332;3333;10000;12689;12690;14320;14321;14322,2185;2827;3332;10000;12689;14322,750,1,Tb927.9.10690,"Protein of unknown function (DUF2009), putative"
1218,Tb927.9.10770:mRNA-p1,Tb927.9.10770:mRNA-p1,20,20,20,,1,20,20,20,17,8,2,16,17,8,2,16,17,8,2,16,40.2,40.2,40.2,62.147,555,555,21.0,1.0,19.0,,2.0,,19.0,1.0,8.0,0.0,153.29,By MS/MS,By MS/MS,By MS/MS,By MS/MS,34.6,18.2,4.3,34.1,14487000,10924000,409300,81936,3071300,499550.0,376710.0,14114.0,2825.4,105910.0,2746500.0,984360,137380,1931100.0,25,11,3,23,62,,,,1218,542;626;827;1253;1317;2612;3339;3340;3663;3733;3734;3890;3909;4078;4323;4393;5082;5219;5414;5819,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,577;667;893;1363;1438;2834;3615;3616;4029;4105;4106;4282;4304;4483;4739;4815;5564;5712;5932;6384,1242;1243;1244;1245;1246;1467;1937;1938;2950;2951;3086;3087;3088;6277;6278;6279;6280;6281;7923;7924;7925;7926;7927;7928;8837;8838;8839;8840;9025;9026;9027;9028;9441;9442;9443;9479;9848;9849;10373;10374;10375;10573;10574;10575;10576;12269;12625;13173;14182;14183,1438;1439;1440;1441;1442;1443;1444;1720;2251;2252;2253;3379;3380;3381;3524;3525;3526;3527;3528;3529;7391;7392;7393;7394;7395;7396;7397;7398;9346;9347;9348;9349;9350;9351;9352;10432;10433;10434;10435;10661;10662;10663;10664;11172;11173;11174;11213;11630;11631;12237;12238;12239;12482;12483;12484;12485;12486;14654;15074;15709;16917;16918,1439;1720;2251;3381;3528;7393;9347;9351;10432;10661;10663;11174;11213;11630;12237;12486;14654;15074;15709;16917,,,Tb927.9.10770,polyadenylate-binding protein 2
1219,Tb927.9.10890:mRNA-p1,Tb927.9.10890:mRNA-p1,1,1,1,,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,3.4,3.4,3.4,31.568,268,268,1.0,1.0,,,,,,,,0.004886,6.497000000000001,By MS/MS,,,,3.4,0.0,0.0,0.0,57232,57232,0,0,0,3815.5,3815.5,0.0,0.0,0.0,57232.0,0,0,0.0,2,0,0,0,2,,,,1219,2366,True,2562,5543,6514;6515,6515,,,Tb927.9.10890,"Regulatory subunit of type II PKA R-subunit, putative"
1220,Tb927.9.11000:mRNA-p1,Tb927.9.11000:mRNA-p1,5,5,5,,1,5,5,5,3,3,0,0,3,3,0,0,3,3,0,0,28.2,28.2,28.2,23.831999999999997,220,220,21.0,3.0,,,,,,3.0,,0.0,35.027,By MS/MS,By MS/MS,,,17.3,17.3,0.0,0.0,482250,317100,165150,0,0,40188.0,26425.0,13763.0,0.0,0.0,317100.0,0,0,0.0,4,4,0,0,8,,,,1220,383;485;501;1641;3417,True;True;True;True;True,409;514;531;1785;3699,847;848;1070;1116;3831;8098,952;953;954;1222;1278;4411;9522;9523,953;1222;1278;4411;9523,,,Tb927.9.11000,"ras-related protein RAB7, putative"
1221,Tb927.9.11050:mRNA-p1,Tb927.9.11050:mRNA-p1,1,1,1,,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,2.9,2.9,2.9,58.54,545,545,2.0,,1.0,,,,,,,0.00096339,8.9835,By MS/MS,,,,2.9,0.0,0.0,0.0,69934,69934,0,0,0,3330.2,3330.2,0.0,0.0,0.0,16615.0,0,0,0.0,1,0,0,0,1,,,,1221,393,True,420,874,980,980,,,Tb927.9.11050,"4E-interacting protein, putative"
1222,Tb927.9.11220:mRNA-p1,Tb927.9.11220:mRNA-p1,8,8,8,,1,8,8,8,8,0,0,4,8,0,0,4,8,0,0,4,19.4,19.4,19.4,41.551,356,356,12.0,,8.0,,,,4.0,,,0.0,61.055,By MS/MS,,,By MS/MS,19.4,0.0,0.0,13.8,2505500,1944300,0,0,561130,125270.0,97217.0,0.0,0.0,28057.0,327450.0,0,0,519030.0,11,0,0,6,17,,,,1222,571;572;1509;1831;2228;3079;4112;4459,True;True;True;True;True;True;True;True,609;610;1647;1989;2420;3337;4518;4885,1344;1345;1346;3518;3519;4285;5205;7336;7337;9904;10711;10712,1568;1569;1570;1571;4044;4045;4046;4047;4943;6039;6040;6041;8654;8655;11699;12645;12646,1569;1571;4045;4943;6039;8655;11699;12645,,,Tb927.9.11220,"hypothetical protein, conserved"
1223,Tb927.9.11410:mRNA-p1;Tb927.9.11380:mRNA-p1,Tb927.9.11410:mRNA-p1;Tb927.9.11380:mRNA-p1,1;1,1;1,1;1,;,2,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,5.8,5.8,5.8,14.962,139,139;139,41.0,,,,,,,1.0,,0.0041356000000000006,6.6069,,By MS/MS,,,0.0,5.8,0.0,0.0,38555,0,38555,0,0,4819.4,0.0,4819.4,0.0,0.0,0.0,33802,0,0.0,0,1,0,0,1,,,,1223,5326,True,5831,12901,15373,15373,,,Tb927.9.11410,"60S ribosomal protein L23, putative"
1224,Tb927.9.11490:mRNA-p1;Tb927.9.11470:mRNA-p1,Tb927.9.11490:mRNA-p1;Tb927.9.11470:mRNA-p1,3;3,3;3,3;3,;,2,3,3,3,2,2,0,0,2,2,0,0,2,2,0,0,23.4,23.4,23.4,16.266,145,145;145,17.2,2.0,1.0,,,,,2.0,,0.0,18.971,By MS/MS,By MS/MS,,,13.1,17.2,0.0,0.0,314010,184600,129410,0,0,39252.0,23075.0,16177.0,0.0,0.0,154630.0,0,0,0.0,2,2,0,0,4,,,,1224,2092;2690;3824,True;True;True,2281;2918;4208,4915;6440;6441;6442;9287,5712;7574;7575;10973,5712;7574;10973,,,Tb927.9.11490,60S ribosomal protein L29
1225,Tb927.9.11540:mRNA-p1,Tb927.9.11540:mRNA-p1,3,3,3,,1,3,3,3,2,0,0,1,2,0,0,1,2,0,0,1,7.5,7.5,7.5,50.786,438,438,9.5,,3.0,,,,1.0,,,0.0,19.714000000000002,By MS/MS,,,By MS/MS,4.6,0.0,0.0,3.0,350500,317280,0,0,33220,14604.0,13220.0,0.0,0.0,1384.2,57411.0,0,0,0.0,3,0,0,1,4,,,,1225,1282;3632;4447,True;True;True,1397;1398;3997;4872,3022;3023;8779;10687,3456;3457;10363;12617,3456;10363;12617,751,146,Tb927.9.11540,"hypothetical protein, conserved"
1226,Tb927.9.11560:mRNA-p1,Tb927.9.11560:mRNA-p1,1,1,1,,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,4.0,4.0,4.0,36.042,325,325,21.0,1.0,,,,,,1.0,,0.0079177,6.3006,By MS/MS,By MS/MS,,,4.0,4.0,0.0,0.0,80857,29922,50935,0,0,6738.1,2493.5,4244.6,0.0,0.0,0.0,44656,0,0.0,1,0,0,0,1,,,,1226,5227,True,5721,12642;12643,15092;15093,15093,,,Tb927.9.11560,"hypothetical protein, conserved"
1227,Tb927.9.11600:mRNA-p1;Tb927.9.11580:mRNA-p1,Tb927.9.11600:mRNA-p1;Tb927.9.11580:mRNA-p1,12;11,12;11,12;11,;,2,12,12,12,4,11,0,2,4,11,0,2,4,11,0,2,45.2,45.2,45.2,25.975,241,241;243,35.5,4.0,,,,2.0,,27.0,,0.0,100.18,By MS/MS,By MS/MS,,By MS/MS,19.5,39.4,0.0,10.0,6020900,469090,5467600,0,84271,376310.0,29318.0,341720.0,0.0,5267.0,469090.0,4146000,0,0.0,4,41,0,2,47,,,,1227,336;826;3302;3303;3304;3900;3906;3907;4177;4178;4660;5357,True;True;True;True;True;True;True;True;True;True;True;True,354;890;891;892;3576;3577;3578;3579;4292;4293;4300;4301;4302;4586;4587;5102;5865;5866,738;739;1933;1934;1935;1936;7855;7856;7857;7858;7859;7860;7861;9455;9456;9472;9473;9474;9475;9476;10028;10029;10030;11209;11210;11211;13005;13006;13007;13008;13009;13010;13011,831;832;2243;2244;2245;2246;2247;2248;2249;2250;9250;9251;9252;9253;9254;9255;9256;9257;9258;9259;9260;11188;11189;11190;11191;11206;11207;11208;11209;11210;11211;11847;11848;11849;11850;11851;13253;13254;13255;15492;15493;15494;15495;15496;15497;15498;15499;15500,831;2245;9251;9255;9257;11189;11207;11209;11847;11850;13255;15497,752;753;754;755,19;27;83;212,Tb927.9.11600,glycosomal membrane protein
1228,Tb927.9.11840:mRNA-p1,Tb927.9.11840:mRNA-p1,3,3,3,,1,3,3,3,1,3,0,0,1,3,0,0,1,3,0,0,17.1,17.1,17.1,24.075,217,217,31.0,1.0,,,,,,3.0,,0.0,21.487,By MS/MS,By MS/MS,,,4.6,17.1,0.0,0.0,293990,49837,244160,0,0,24499.0,4153.0,20346.0,0.0,0.0,0.0,214060,0,0.0,1,3,0,0,4,,,,1228,369;3457;4689,True;True;True,393;3745;5136,816;817;8196;11279,921;922;9646;13332,921;9646;13332,756,119,Tb927.9.11840,"pre-rRNA-processing protein PNO1, putative"
1229,Tb927.9.11870:mRNA-p1,Tb927.9.11870:mRNA-p1,1,1,1,,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,3.2,3.2,3.2,31.314,285,285,14.7,1.0,1.0,,,,,1.0,,0.00091491,7.2184,By MS/MS,By MS/MS,,,3.2,3.2,0.0,0.0,202300,111740,90565,0,0,12644.0,6983.7,5660.3,0.0,0.0,55627.0,0,0,0.0,1,1,0,0,2,,,,1229,3125,True,3386,7426;7427;7428,8747;8748,8748,,,Tb927.9.11870,"zinc finger protein, putative"
1230,Tb927.9.11880:mRNA-p1,Tb927.9.11880:mRNA-p1,1,1,1,,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,2.0,2.0,2.0,51.045,440,440,2.0,,1.0,,,,,,,0.0071542,6.3364,By MS/MS,,,,2.0,0.0,0.0,0.0,153450,153450,0,0,0,8525.2,8525.2,0.0,0.0,0.0,36457.0,0,0,0.0,1,0,0,0,1,,,,1230,5366,True,5879,13038,15530,15530,,,Tb927.9.11880,"hypothetical protein, conserved"
1231,Tb927.9.11910:mRNA-p1,Tb927.9.11910:mRNA-p1,3,3,3,,1,3,3,3,3,0,0,0,3,0,0,0,3,0,0,0,7.1,7.1,7.1,51.808,453,453,2.0,,3.0,,,,,,,0.0,19.973,By MS/MS,,,,7.1,0.0,0.0,0.0,379260,379260,0,0,0,17239.0,17239.0,0.0,0.0,0.0,90105.0,0,0,0.0,3,0,0,0,3,,,,1231,3003;4422;5170,True;True;True,3251;4844;5660,7102;10644;12497,8384;12567;14921,8384;12567;14921,,,Tb927.9.11910,"peroxidase, putative"
1232,Tb927.9.12140:mRNA-p1,Tb927.9.12140:mRNA-p1,2,2,2,,1,2,2,2,0,2,0,0,0,2,0,0,0,2,0,0,7.6,7.6,7.6,35.685,330,330,41.0,,,,,,,2.0,,0.0,13.78,,By MS/MS,,,0.0,7.6,0.0,0.0,136180,0,136180,0,0,6809.2,0.0,6809.2,0.0,0.0,0.0,119400,0,0.0,0,2,0,0,2,,,,1232,524;1840,True;True,556;1998,1189;4300,1360;4959,1360;4959,,,Tb927.9.12140,mitochondrial carrier protein
1233,Tb927.9.12150:mRNA-p1,Tb927.9.12150:mRNA-p1,2,2,2,,1,2,2,2,2,0,0,0,2,0,0,0,2,0,0,0,11.9,11.9,11.9,23.01,202,202,1.0,2.0,,,,,,,,0.0,14.745,By MS/MS,,,,11.9,0.0,0.0,0.0,149680,149680,0,0,0,13607.0,13607.0,0.0,0.0,0.0,149680.0,0,0,0.0,2,0,0,0,2,,,,1233,49;3365,True;True,53;3644,102;7988,130;9411,130;9411,,,Tb927.9.12150,"transport protein particle (TRAPP) subunit, putative"
1234,Tb927.9.12170:mRNA-p1,Tb927.9.12170:mRNA-p1,3,3,3,,1,3,3,3,2,3,0,0,2,3,0,0,2,3,0,0,11.7,11.7,11.7,32.359,291,291,25.0,2.0,,,,,,3.0,,0.0,22.019000000000002,By MS/MS,By MS/MS,,,7.9,11.7,0.0,0.0,557290,106250,451030,0,0,37152.0,7083.6,30069.0,0.0,0.0,135200.0,366480,0,0.0,3,3,0,0,6,,,,1234,226;1686;2881,True;True;True,238;1832;3123,511;512;3930;6836;6837,588;589;4535;8077;8078;8079,589;4535;8079,,,Tb927.9.12170,"leucine-rich repeat protein (LRRP), putative"
1235,Tb927.9.12300:mRNA-p1,Tb927.9.12300:mRNA-p1,6,6,6,,1,6,6,6,5,1,0,3,5,1,0,3,5,1,0,3,18.8,18.8,18.8,39.624,357,357,13.6,1.0,6.0,,,,3.0,1.0,,0.0,41.309,By MS/MS,By MS/MS,,By MS/MS,14.3,3.6,0.0,10.6,1226400,1070800,37772,0,117780,55745.0,48674.0,1716.9,0.0,5353.8,245220.0,0,0,0.0,5,1,0,4,10,,,,1235,385;1097;2172;2815;3807;5425,True;True;True;True;True;True,411;412;1190;2363;3056;4189;5945,851;852;2546;5093;5094;5095;6727;6728;6729;9246;13191,958;959;2931;5911;5912;7939;7940;7941;7942;10929;15735,958;2931;5911;7942;10929;15735,757,88,Tb927.9.12300,"replication factor C, subunit 3, putative"
