Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1	Razor + unique peptides 1	Unique peptides 1	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Q-value	Score	Identification type 1	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/L 1	Ratio H/L normalized 1	Ratio H/L variability [%] 1	Ratio H/L count 1	Ratio H/L iso-count 1	Ratio H/L type 1	Sequence coverage 1 [%]	Intensity	Intensity L	Intensity H	Intensity 1	Intensity L 1	Intensity H 1	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P12763	CON__P12763	3	3	3		1	3	3	3	3	3	3	14.8	14.8	14.8	38.418	359	359	3.5	1	1	1	1	1	1	0	10.009	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	14.8	0	0	0	0	0	0			+	10	2036;3569;3573	True;True;True	2134;3723;3727	2821;2822;2823;2824;4949;4953	3922;3923;3924;3925;6896;6897;6898;6902	3925;6898;6902		
CON__P13645;CON__P02535-1;CON__Q7Z3Y7;CON__Q148H6;CON__Q7Z3Z0;CON__Q7Z3Y8;CON__Q2M2I5	CON__P13645	31;9;4;3;2;2;2	27;7;2;1;1;1;1	25;5;2;1;1;1;0		7	31	27	25	31	27	25	50.6	46.4	44.5	59.51	593	593;570;486;464;450;459;525	2.99	27	42	13	28	12	14	0	323.31	By MS/MS	0.011458	0.01125	185.12	49	49	Median	0.011458	0.01125	185.12	49	49	Median	50.6	533110000	531130000	1984300	533110000	531130000	1984300			+	11	232;473;1029;1981;3224;3244;4022;4061;4193;4320;4406;4408;4523;4749;5744;5897;6002;6262;6270;6271;6434;6587;6588;6683;6787;6840;7028;7029;8288;8671;8975	True;True;True;True;True;True;True;True;True;False;False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True	240;487;1068;2074;3372;3393;4196;4236;4371;4505;4594;4596;4714;4947;6054;6216;6325;6326;6594;6602;6603;6769;6926;6927;7025;7136;7190;7384;7385;8698;9105;9106;9417	326;327;328;329;330;331;656;657;658;659;660;1421;1422;1423;2741;2742;2743;2744;2745;2746;2747;2748;4474;4475;4476;4477;4478;4506;5624;5625;5626;5627;5628;5629;5679;5858;5859;5860;6033;6034;6035;6036;6037;6158;6159;6163;6318;6319;6320;6321;6322;6323;6324;6629;6630;6631;6632;6633;6634;6635;6636;8041;8322;8472;8473;8474;8475;8476;8477;8478;8479;8480;8481;8482;8812;8813;8814;8815;8816;8817;8829;8830;8831;8832;8833;8834;9042;9043;9044;9239;9240;9241;9242;9243;9244;9371;9372;9373;9374;9546;9547;9548;9549;9550;9551;9637;9638;9639;9640;9641;9642;9883;9884;9885;9886;9887;9888;9889;9890;9891;9892;9893;9894;9895;9896;9897;9898;9899;9900;9901;9902;11697;11698;11699;11700;11701;11702;12235;12236;12237;12238;12239;12240;12241;12242;12243;12244;12245;12246;12247;12248;12249;12250;12646;12647;12648;12649;12650;12651;12652	465;466;467;468;469;470;926;927;928;929;930;931;932;933;934;1981;1982;1983;3815;3816;3817;3818;3819;3820;3821;3822;6220;6221;6222;6223;6224;6225;6265;7888;7889;7890;7891;7892;7893;7950;8191;8192;8193;8371;8372;8373;8374;8375;8539;8540;8544;8751;8752;8753;8754;8755;8756;8757;8758;9164;9165;9166;9167;9168;9169;9170;9171;11083;11480;11677;11678;11679;11680;11681;11682;11683;11684;11685;11686;11687;11688;12124;12125;12126;12127;12128;12129;12130;12143;12144;12145;12146;12147;12148;12432;12433;12434;12695;12696;12697;12698;12699;12700;12881;12882;12883;12884;13100;13101;13102;13103;13104;13105;13106;13214;13215;13216;13217;13218;13219;13558;13559;13560;13561;13562;13563;13564;13565;13566;13567;13568;13569;13570;13571;13572;13573;13574;13575;13576;13577;13578;16122;16123;16124;16125;16126;16127;16128;16896;16897;16898;16899;16900;16901;16902;16903;16904;16905;16906;16907;16908;16909;16910;16911;16912;16913;16914;17464;17465;17466;17467;17468;17469;17470	469;930;1981;3819;6222;6265;7891;7950;8193;8373;8540;8544;8751;9167;11083;11480;11688;12130;12145;12148;12433;12695;12700;12883;13102;13215;13558;13578;16123;16914;17466	4;17;18	150;306;321
CON__P13647	CON__P13647	33	17	6		1	33	17	6	33	17	6	44.4	28.3	12.2	62.378	590	590	3.17	12	14	10	12	11	5	0	145.08	By MS/MS	0.02985	0.02941	153.3	20	20	Median	0.02985	0.02941	153.3	20	20	Median	44.4	48650000	48096000	553650	48650000	48096000	553650			+	12	711;1525;2272;2304;2305;2447;3001;3179;4049;4257;4354;4373;4780;5089;5790;5791;5798;5841;6205;6401;6645;6892;7033;7352;7353;7662;7696;7938;8592;8883;8954;8955;8961	True;False;True;False;False;False;True;False;True;False;True;False;False;True;False;False;False;True;False;False;True;True;True;True;True;True;True;True;True;False;False;False;True	736;1596;1597;2381;2382;2415;2416;2563;3131;3325;4224;4439;4541;4560;4979;5301;6100;6101;6108;6156;6157;6535;6736;6985;7242;7390;7723;7724;8049;8085;8331;9021;9322;9395;9396;9402	964;965;966;967;2086;2087;2088;2089;2090;2091;2092;2093;3140;3141;3142;3143;3144;3145;3146;3147;3184;3185;3186;3187;3188;3371;4143;4144;4145;4146;4411;5660;5661;5662;5663;5664;5665;5951;5952;6092;6093;6094;6095;6096;6119;6678;6679;6680;6681;7089;7090;7091;7092;8115;8116;8117;8118;8119;8120;8121;8122;8123;8124;8125;8126;8127;8142;8143;8144;8145;8146;8147;8148;8216;8217;8218;8739;8740;8741;9005;9307;9308;9309;9310;9708;9909;9910;10370;10371;10372;10373;10374;10375;10376;10845;10888;10889;10890;10891;11202;11203;12128;12129;12130;12517;12518;12605;12606;12607;12608;12609;12610;12620;12621;12622;12623;12624;12625	1351;1352;1353;1354;2874;2875;2876;2877;2878;2879;2880;2881;2882;4364;4365;4366;4367;4368;4369;4370;4371;4421;4422;4423;4424;4425;4686;5778;5779;5780;5781;6134;7929;7930;7931;7932;7933;7934;8287;8288;8454;8455;8456;8457;8458;8459;8460;8488;9228;9229;9230;9231;9789;9790;9791;9792;11186;11187;11188;11189;11190;11191;11192;11193;11194;11195;11196;11197;11198;11199;11222;11223;11224;11225;11226;11227;11228;11229;11230;11231;11232;11233;11234;11235;11353;11354;11355;12027;12028;12029;12381;12792;12793;12794;12795;13309;13586;13587;14240;14241;14242;14243;14244;14245;14246;14895;14947;14948;14949;14950;15397;15398;16742;16743;16744;17291;17292;17416;17417;17418;17419;17420;17421;17432;17433;17434;17435;17436;17437	1351;2880;4367;4421;4425;4686;5781;6134;7933;8288;8459;8488;9228;9792;11188;11197;11227;11354;12027;12381;12792;13309;13587;14244;14246;14895;14949;15397;16744;17291;17416;17417;17435	5;19;20;21;22;23	247;274;284;297;303;457
CON__P34955	CON__P34955	3	3	3		1	3	3	3	3	3	3	8.4	8.4	8.4	46.103	416	416	3.71	1	2		1	1	2	0	5.8538	By MS/MS	0.063456	0.063159	52.974	2	2	Median	0.063456	0.063159	52.974	2	2	Median	8.4	448930	439310	9618.2	448930	439310	9618.2			+	13	5154;5272;7188	True;True;True	5366;5491;7549	7174;7331;10118;10119;10120;10121;10122	9896;10113;13862;13863;13864;13865;13866	9896;10113;13865		
CON__P35527	CON__P35527	28	27	27		1	28	27	27	28	27	27	52.2	52.2	52.2	62.129	623	623	3.31	21	25	11	29	13	16	0	241.53	By MS/MS	0.010518	0.010475	168.58	54	54	Median	0.010518	0.010475	168.58	54	54	Median	52.2	328090000	326090000	2001300	328090000	326090000	2001300			+	14	1246;1413;1834;2362;2557;2872;2891;2892;3240;3509;3510;3857;4002;4003;4406;4407;4515;5589;6157;6166;6172;6299;6684;6685;7138;7522;7537;8512	True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True	1300;1479;1919;2475;2476;2678;2999;3020;3021;3389;3662;3663;4020;4021;4175;4176;4594;4595;4705;5882;5883;6487;6496;6502;6631;6632;7026;7027;7496;7497;7900;7915;7916;8938	1738;1952;2539;2540;2541;2542;2543;2544;3262;3263;3264;3265;3266;3267;3530;3531;3532;3533;3969;3970;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018;4019;4500;4501;4865;4866;5365;5366;5367;5368;5369;5370;5371;5372;5373;5374;5375;5596;5597;5598;5599;6158;6159;6160;6161;6162;6306;7814;7815;7816;7817;7818;7819;7820;8673;8674;8683;8684;8690;8691;8692;8869;8870;8871;8872;8873;8874;9375;9376;9377;9378;9379;9380;9381;9382;10042;10043;10044;10045;10046;10047;10048;10049;10050;10051;10052;10053;10622;10623;10624;10625;10626;10627;10650;10651;12025;12026;12027;12028;12029;12030;12031;12032;12033;12034;12035;12036	2396;2697;3523;3524;3525;3526;3527;3528;3529;3530;3531;3532;4532;4533;4534;4535;4536;4537;4910;4911;4912;4913;4914;4915;5547;5548;5549;5594;5595;5596;5597;5598;5599;5600;5601;5602;5603;5604;5605;5606;5607;5608;6255;6256;6785;6786;7497;7498;7499;7500;7501;7502;7503;7504;7505;7506;7507;7852;7853;7854;7855;8539;8540;8541;8542;8543;8738;10781;10782;10783;10784;10785;10786;10787;11950;11951;11963;11964;11971;11972;11973;12195;12196;12197;12198;12199;12200;12201;12885;12886;12887;12888;12889;12890;12891;12892;13762;13763;13764;13765;13766;13767;13768;13769;13770;13771;13772;13773;13774;14589;14590;14591;14592;14593;14594;14595;14621;14622;16608;16609;16610;16611;16612;16613;16614;16615;16616;16617;16618;16619;16620;16621;16622	2396;2697;3530;4535;4912;5548;5595;5604;6256;6785;6786;7503;7852;7855;8540;8543;8738;10785;11950;11964;11972;12196;12889;12892;13772;14594;14622;16619	24;25;26;27;28	157;234;245;269;326
CON__P35908;CON__Q6NXH9;CON__REFSEQ:XP_932229	CON__P35908	46;5;1	46;5;1	29;0;0		3	46	46	29	46	46	29	68.4	68.4	51.3	65.865	645	645;539;345	3.01	43	53	18	40	17	22	0	323.31	By MS/MS	0.013749	0.013086	179.06	55	55	Median	0.013749	0.013086	179.06	55	55	Median	68.4	481630000	479690000	1941200	481630000	479690000	1941200			+	15	36;712;1530;1594;1846;2304;2305;2449;2837;2890;2893;2895;3245;3493;3710;3711;4197;4257;4312;4373;4780;4857;4930;5041;5042;5566;5785;5798;5997;6514;6786;6879;7145;7261;7262;7681;7682;7970;7980;8402;8863;8954;8955;8963;9022;9067	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	38;737;1603;1604;1671;1672;1932;2415;2416;2565;2964;3019;3022;3024;3394;3646;3868;3869;4376;4439;4497;4560;4979;5058;5139;5252;5253;5850;6095;6108;6319;6851;7135;7229;7504;7627;7628;8068;8069;8070;8365;8375;8815;9301;9395;9396;9404;9468;9516	49;50;968;969;970;971;972;2112;2113;2114;2115;2116;2117;2118;2119;2120;2121;2122;2123;2222;2223;2224;2225;2226;2227;2228;2229;2230;2231;2232;2559;3184;3185;3186;3187;3188;3380;3381;3382;3383;3384;3385;3386;3387;3388;3389;3911;3912;3913;3914;3915;3916;4000;4001;4002;4003;4004;4005;4006;4007;4020;4021;4022;4023;4025;4026;4027;4507;4508;4509;4510;4511;4512;4843;4844;4845;4846;4847;4848;5145;5146;5147;5148;5149;5150;5151;5152;5153;5868;5869;5951;5952;6021;6022;6023;6024;6025;6119;6678;6679;6680;6681;6775;6877;6878;6879;6880;6881;6882;7029;7030;7031;7032;7780;8107;8108;8109;8110;8142;8143;8144;8145;8146;8147;8148;8461;8462;8463;8464;8465;8466;9142;9534;9535;9536;9537;9538;9539;9540;9541;9542;9543;9544;9545;9693;9694;9695;10062;10063;10237;10238;10239;10240;10241;10242;10243;10244;10245;10246;10866;10867;10868;10869;10870;10871;10872;11248;11249;11250;11251;11263;11264;11265;11870;12490;12605;12606;12607;12608;12609;12610;12629;12630;12631;12632;12723;12724;12725;12781;12782;12783;12784;12785	65;66;1355;1356;1357;1358;1359;2902;2903;2904;2905;2906;2907;2908;2909;2910;2911;2912;2913;3051;3052;3053;3054;3055;3056;3057;3058;3059;3060;3061;3555;4421;4422;4423;4424;4425;4696;4697;4698;4699;4700;4701;4702;4703;4704;4705;4706;4707;4708;4709;4710;4711;5465;5466;5467;5468;5469;5470;5585;5586;5587;5588;5589;5590;5591;5592;5593;5609;5610;5611;5612;5615;5616;5617;6266;6267;6268;6269;6270;6271;6272;6759;6760;6761;6762;6763;6764;7179;7180;7181;7182;7183;7184;7185;7186;7187;7188;7189;8201;8202;8287;8288;8358;8359;8360;8361;8362;8363;8488;9228;9229;9230;9231;9358;9504;9505;9506;9507;9508;9509;9510;9713;9714;9715;9716;10740;11177;11178;11179;11180;11222;11223;11224;11225;11226;11227;11228;11229;11230;11231;11232;11233;11234;11235;11663;11664;11665;11666;11667;11668;12566;13088;13089;13090;13091;13092;13093;13094;13095;13096;13097;13098;13099;13291;13292;13293;13789;13790;14060;14061;14062;14063;14064;14065;14066;14067;14068;14069;14924;14925;14926;14927;14928;14929;14930;14931;15471;15472;15473;15474;15475;15491;15492;15493;16388;16389;17255;17416;17417;17418;17419;17420;17421;17443;17444;17445;17446;17562;17563;17564;17643;17644;17645;17646;17647	65;1356;2904;3058;3555;4421;4425;4707;5469;5585;5609;5617;6272;6764;7183;7189;8202;8288;8363;8488;9228;9358;9508;9715;9716;10740;11177;11227;11665;12566;13090;13293;13790;14063;14068;14924;14926;15471;15493;16389;17255;17416;17417;17443;17563;17646	29;30;31;32;33;34	222;263;300;343;473;497
CON__P48668	CON__P48668	36	1	0		1	36	1	0	36	1	0	50.4	1.8	0	60.024	564	564	3.8	1		1	1	1	1	0.00054289	1.9884	By MS/MS	0.01624	0.015987	62.543	3	3	Median	0.01624	0.015987	62.543	3	3	Median	50.4	6892100	6827800	64314	6892100	6827800	64314			+	16	177;188;389;390;712;775;1525;1526;2273;2304;2305;2447;3179;3210;4047;4257;4373;4780;5109;5783;5790;5791;5798;5947;6155;6205;6401;6678;6891;7030;7263;7264;8883;8954;8955;8962	False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False	183;194;399;400;737;800;1596;1597;1598;2383;2415;2416;2563;3325;3358;4222;4439;4560;4979;5321;6093;6100;6101;6108;6268;6485;6535;6736;7020;7241;7386;7629;7630;9322;9395;9396;9403	250;251;252;253;269;270;271;527;528;529;530;531;532;968;969;970;971;972;1053;1054;2086;2087;2088;2089;2090;2091;2092;2093;2094;3148;3184;3185;3186;3187;3188;3371;4411;4453;4454;4455;5656;5657;5658;5951;5952;6119;6678;6679;6680;6681;7118;8101;8102;8115;8116;8117;8118;8119;8120;8121;8122;8123;8124;8125;8126;8127;8142;8143;8144;8145;8146;8147;8148;8395;8670;8671;8739;8740;8741;9005;9353;9354;9355;9356;9357;9707;9903;9904;9905;10247;10248;10249;10250;10251;10252;10253;10254;12517;12518;12605;12606;12607;12608;12609;12610;12626;12627;12628	361;362;363;364;365;384;385;386;387;739;740;741;742;743;744;745;746;1355;1356;1357;1358;1359;1470;1471;2874;2875;2876;2877;2878;2879;2880;2881;2882;2883;4372;4421;4422;4423;4424;4425;4686;6134;6195;6196;6197;7925;7926;7927;8287;8288;8488;9228;9229;9230;9231;9824;11171;11172;11186;11187;11188;11189;11190;11191;11192;11193;11194;11195;11196;11197;11198;11199;11222;11223;11224;11225;11226;11227;11228;11229;11230;11231;11232;11233;11234;11235;11572;11947;11948;12027;12028;12029;12381;12861;12862;12863;12864;12865;12866;12867;13308;13579;13580;13581;14070;14071;14072;14073;14074;14075;14076;14077;14078;14079;17291;17292;17416;17417;17418;17419;17420;17421;17438;17439;17440;17441;17442	363;385;743;746;1356;1470;2880;2883;4372;4421;4425;4686;6134;6197;7927;8288;8488;9228;9824;11172;11188;11197;11227;11572;11947;12027;12381;12865;13308;13581;14075;14079;17291;17416;17417;17441	5;6	279;452
CON__Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0	CON__Q04695	21;7;1;1	9;1;1;1	4;1;0;0		4	21	9	4	21	9	4	40	21.3	9	48.105	432	432;403;422;422	2.84	8	7		2	7	1	0	58.412	By MS/MS	0.12143	0.11954	287.64	2	2	Median	0.12143	0.11954	287.64	2	2	Median	40	3391500	3321600	69891	3391500	3321600	69891			+	17	471;750;822;1030;1596;2183;4019;4320;4406;4408;4532;4779;5194;5746;6433;6586;7364;7449;7476;7650;8287	True;True;True;True;True;False;False;False;False;False;False;True;True;False;False;False;False;True;True;False;False	485;775;850;1069;1674;2291;4193;4505;4594;4596;4723;4978;5408;6056;6768;6925;7735;7826;7853;8036;8697	650;651;652;653;654;1017;1018;1019;1120;1424;1425;1426;1427;2236;2237;2238;3008;3009;3010;3011;3012;3013;5620;5621;6033;6034;6035;6036;6037;6158;6159;6163;6333;6334;6335;6336;6675;6676;6677;7228;8043;8044;8045;8046;9041;9238;10392;10509;10510;10511;10554;10555;10828;10829;11692;11693;11694;11695;11696	919;920;921;922;923;924;1425;1426;1427;1553;1984;1985;1986;1987;3065;3066;3067;3068;4181;4182;4183;4184;4185;4186;7884;7885;8371;8372;8373;8374;8375;8539;8540;8544;8771;8772;8773;8774;8775;9225;9226;9227;9967;11085;11086;11087;11088;12431;12694;14267;14428;14429;14430;14482;14483;14873;14874;16116;16117;16118;16119;16120;16121	920;1426;1553;1987;3065;4185;7885;8373;8540;8544;8771;9227;9967;11085;12431;12694;14267;14428;14483;14874;16121		
CON__Q14525;CON__Q6NTB9;CON__O76009	CON__Q14525;CON__Q6NTB9;CON__O76009	4;2;2	3;2;2	1;0;0	;;	3	4	3	1	4	3	1	9.7	7.9	3.2	46.213	404	404;404;404	1	3						0	75.866	By MS/MS	0.018878	0.018298	136.99	3	3	Median	0.018878	0.018298	136.99	3	3	Median	9.7	1782600	1713900	68765	1782600	1713900	68765			+	18	1364;2155;4320;9184	True;True;False;True	1425;2262;4505;9648	1888;2976;6033;6034;6035;6036;6037;12952	2603;4139;8371;8372;8373;8374;8375;17890	2603;4139;8373;17890	1	60
CON__Q9UE12;CON__Q15323	CON__Q9UE12;CON__Q15323	4;4	1;1	1;1	;	2	4	1	1	4	1	1	8.9	2.6	2.6	47.237	416	416;416	1	1						1	-2	By MS/MS	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	8.9	94286	69129	25157	94286	69129	25157	+		+	19	1364;2155;4320;6912	False;False;False;True	1425;2262;4505;7264	1888;2976;6033;6034;6035;6036;6037;9734	2603;4139;8371;8372;8373;8374;8375;13344	2603;4139;8373;13344	1	60
CON__Q7RTS7;CON__Q32MB2;CON__Q3SY84	CON__Q7RTS7;CON__Q32MB2;CON__Q3SY84	6;6;4	1;1;1	0;0;0	;;	3	6	1	0	6	1	0	7.6	2.3	0	57.865	529	529;540;523	2.75	3	2		1	1	1	0	15.114	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	7.6	0	0	0	0	0	0			+	20	185;2304;2305;2448;4257;4780	False;False;False;True;False;False	191;2415;2416;2564;4439;4979	264;3184;3185;3186;3187;3188;3372;3373;3374;3375;3376;3377;3378;3379;5951;5952;6678;6679;6680;6681	378;4421;4422;4423;4424;4425;4687;4688;4689;4690;4691;4692;4693;4694;4695;8287;8288;9228;9229;9230;9231	378;4421;4425;4690;8288;9228		
CON__Q3SX09	CON__Q3SX09	1	1	1		1	1	1	1	1	1	1	9.5	9.5	9.5	22.06	201	201	3.5		1			1		0	2.7758	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	9.5	0	0	0	0	0	0			+	21	2376	True	2491	3284;3285	4561;4562	4562		
CON__Q3TTY5	CON__Q3TTY5	12	1	0		1	12	1	0	12	1	0	9.9	1.1	0	70.922	707	707	2		1					1	-2	By MS/MS	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	9.9	96107	81761	14346	96107	81761	14346	+		+	22	1593;2304;2305;2837;4257;4312;4780;4856;5451;7980;8954;8955	False;False;False;False;False;False;False;False;True;False;False;False	1669;1670;2415;2416;2964;4439;4497;4979;5056;5057;5685;8375;9395;9396	2210;2211;2212;2213;2214;2215;2216;2217;2218;2219;2220;2221;3184;3185;3186;3187;3188;3911;3912;3913;3914;3915;3916;5951;5952;6021;6022;6023;6024;6025;6678;6679;6680;6681;6772;6773;6774;7555;11263;11264;11265;12605;12606;12607;12608;12609;12610	3039;3040;3041;3042;3043;3044;3045;3046;3047;3048;3049;3050;4421;4422;4423;4424;4425;5465;5466;5467;5468;5469;5470;8287;8288;8358;8359;8360;8361;8362;8363;9228;9229;9230;9231;9355;9356;9357;10402;15491;15492;15493;17416;17417;17418;17419;17420;17421	3049;4421;4425;5469;8288;8363;9228;9356;10402;15493;17416;17417	0;35	415;488
CON__Q5D862	CON__Q5D862	6	6	6		1	6	6	6	6	6	6	4.7	4.7	4.7	248.07	2391	2391	3.28	4	4		5	3	2	0	51.113	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	4.7	347500	347500	0	347500	347500	0			+	23	2114;2549;3555;6269;6707;7236	True;True;True;True;True;True	2217;2670;3708;6601;7049;7600	2923;3514;3515;3516;3517;3518;4925;4926;4927;4928;4929;4930;8827;8828;9409;9410;9411;10203	4066;4888;4889;4890;4891;4892;6861;6862;6863;6864;6865;6866;6867;6868;6869;12141;12142;12929;12930;12931;14010	4066;4891;6867;12142;12931;14010		
CON__Q5XQN5;CON__Q922U2	CON__Q5XQN5;CON__Q922U2	27;22	1;0	1;0	;	2	27	1	1	27	1	1	31.6	1.7	1.7	62.936	601	601;580	2		1					0.0091522	1.2411	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	31.6	0	0	0	0	0	0			+	24	1525;2272;2304;2305;2447;3179;4257;4353;4373;4780;5110;5111;5790;5791;5841;6645;6807;6892;7033;7352;7353;7662;7696;7938;8954;8955;8961	False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False	1596;1597;2381;2382;2415;2416;2563;3325;4439;4540;4560;4979;5322;5323;6100;6101;6156;6157;6985;7157;7242;7390;7723;7724;8049;8085;8331;9395;9396;9402	2086;2087;2088;2089;2090;2091;2092;2093;3140;3141;3142;3143;3144;3145;3146;3147;3184;3185;3186;3187;3188;3371;4411;5951;5952;6091;6119;6678;6679;6680;6681;7119;7120;7121;7122;7123;7124;7125;8115;8116;8117;8118;8119;8120;8121;8122;8123;8124;8125;8126;8127;8216;8217;8218;9307;9308;9309;9310;9580;9581;9582;9583;9584;9585;9586;9587;9588;9589;9590;9591;9592;9708;9909;9910;10370;10371;10372;10373;10374;10375;10376;10845;10888;10889;10890;10891;11202;11203;12605;12606;12607;12608;12609;12610;12620;12621;12622;12623;12624;12625	2874;2875;2876;2877;2878;2879;2880;2881;2882;4364;4365;4366;4367;4368;4369;4370;4371;4421;4422;4423;4424;4425;4686;6134;8287;8288;8453;8488;9228;9229;9230;9231;9825;9826;9827;9828;9829;9830;9831;11186;11187;11188;11189;11190;11191;11192;11193;11194;11195;11196;11197;11198;11199;11353;11354;11355;12792;12793;12794;12795;13140;13141;13142;13143;13144;13145;13146;13147;13148;13149;13150;13151;13152;13153;13154;13155;13156;13157;13158;13159;13160;13309;13586;13587;14240;14241;14242;14243;14244;14245;14246;14895;14947;14948;14949;14950;15397;15398;17416;17417;17418;17419;17420;17421;17432;17433;17434;17435;17436;17437	2880;4367;4421;4425;4686;6134;8288;8453;8488;9228;9826;9831;11188;11197;11354;12792;13144;13309;13587;14244;14246;14895;14949;15397;17416;17417;17435	5;19;20;21;22;23	248;275;285;298;304;458
CON__Q6IFZ6	CON__Q6IFZ6	10	2	1		1	10	2	1	10	2	1	11	4.2	2.1	61.358	572	572	2.33	1	1		1			0	6.1778	By MS/MS	0.060643	0.059995	33.989	2	2	Median	0.060643	0.059995	33.989	2	2	Median	11	143250	133470	9773.9	143250	133470	9773.9			+	25	2304;2305;2449;5031;5451;5790;5791;6808;8954;8955	False;False;False;True;False;False;False;True;False;False	2415;2416;2565;5242;5685;6100;6101;7158;9395;9396	3184;3185;3186;3187;3188;3380;3381;3382;3383;3384;3385;3386;3387;3388;3389;7019;7555;8115;8116;8117;8118;8119;8120;8121;8122;8123;8124;8125;8126;8127;9593;9594;12605;12606;12607;12608;12609;12610	4421;4422;4423;4424;4425;4696;4697;4698;4699;4700;4701;4702;4703;4704;4705;4706;4707;4708;4709;4710;4711;9701;10402;11186;11187;11188;11189;11190;11191;11192;11193;11194;11195;11196;11197;11198;11199;13161;13162;17416;17417;17418;17419;17420;17421	4421;4425;4707;9701;10402;11188;11197;13161;17416;17417	35;36	383;434
CON__Q9NSB2;CON__Q6ISB0	CON__Q9NSB2;CON__Q6ISB0	11;11	8;8	8;8	;	2	11	8	8	11	8	8	19	16.3	16.3	64.895	600	600;600	2.33	10				5		0	45.048	By MS/MS	0.045793	0.046257	99.832	6	6	Median	0.045793	0.046257	99.832	6	6	Median	19	5891100	5591900	299150	5891100	5591900	299150			+	26	133;713;1326;2304;2305;2447;5693;6847;7186;7890;8146	True;True;True;False;False;False;True;True;True;True;True	138;738;1383;2415;2416;2563;6000;7197;7547;8283;8549	187;188;973;974;1840;1841;1842;3184;3185;3186;3187;3188;3371;7967;7968;9649;9650;9651;10116;11135;11497	269;270;1360;1361;2542;2543;2544;4421;4422;4423;4424;4425;4686;10983;10984;13227;13228;13229;13230;13859;15301;15848	270;1360;2542;4421;4425;4686;10984;13229;13859;15301;15848		
CON__Q6KB66-1	CON__Q6KB66-1	3	3	3		1	3	3	3	3	3	3	8.4	8.4	8.4	50.525	452	452	2	3				1		0	5.4035	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	8.4	138830	138830	0	138830	138830	0			+	27	4394;6458;8690	True;True;True	4582;6793;9126	6145;9070;9071;12274	8523;12470;12471;16950	8523;12471;16950		
CON__Q8N1N4-2;CON__Q7RTT2	CON__Q8N1N4-2;CON__Q7RTT2	6;6	3;3	3;3	;	2	6	3	3	6	3	3	11.3	6.5	6.5	56.964	521	521;521	1	3						0	5.7634	By MS/MS	0.56111	0.55712	87.182	2	2	Median	0.56111	0.55712	87.182	2	2	Median	11.3	965730	475780	489950	965730	475780	489950			+	28	185;816;2447;3708;4780;8524	False;True;False;True;False;True	191;844;2563;3866;4979;8950	264;1110;3371;5143;6678;6679;6680;6681;12049	378;1538;4686;7176;9228;9229;9230;9231;16639	378;1538;4686;7176;9228;16639		
